item_id,item_name,section,file_offset,u16_00,u16_02,u16_06,u8_08,u8_09,u8_0A,u8_0B,u32_0C,u32_10,u32_14,u8_18,u8_19,u8_1A,u8_1B,u8_1C,u8_1D,u8_1E,u8_1F
1,- Unspecified Item -,.rdata,0x135c00,1,0,0,1,0,0,0,1,269708988,269569664,168,78,17,16,0,0,0,0
2,Zanathid 5 Inflex,.rdata,0x1456c0,0,0,256,26,4,0,0,250,60,25601,16,39,1,0,170,4,2,0
3,Ryx 7 Streamline,.rdata,0x146ae0,522,0,0,2,3,5,6,1,523,7,3,3,5,6,1,0,0,0
4,RGI-9,.rdata,0x190440,14949,4112,0,115,58,16,16,5,269499009,6,143,58,16,16,7,0,0,0
5,Orbit XB Infineon,.rdata,0x141d20,5,0,0,32,0,0,0,5,6,4,12,0,0,0,12,0,0,0
6,Armalite Survival,.rdata,0x142660,103,22,0,104,0,32,0,42,1179752,192,104,0,19,0,192,0,0,0
7,Enfield Life Protector,.rdata,0x111fc0,0,0,32768,57,0,0,128,2147483654,2147483763,2147483764,40,234,25,0,111,0,0,128
8,FGz-78,.rdata,0x15d0c0,14796,4113,0,0,0,128,68,0,6094941,7536639,6,0,0,0,0,0,0,0
9,Militek EMP,.rdata,0x112020,3,32768,32768,4,0,0,128,2147483659,2147483660,2147483656,0,0,0,0,0,0,0,0
10,Techtronic 6x6,.rdata,0x142720,85,27,0,86,0,39,0,250,1441878,50,86,0,27,0,10,0,0,0
11,HR420,.rdata,0x135bc0,65535,65535,0,0,0,128,63,1065353216,1,1,1,0,0,0,1,0,0,0
12,Linner PP7,.rdata,0x141d40,12,0,0,12,0,0,0,12,12,12,12,0,0,0,12,0,0,0
13,DOA 187,.rdata,0x16c0c0,100,0,0,1,1,1,1,16843009,16843009,257,0,0,0,0,0,0,0,0
14,Salvotec HP220,.rdata,0x143440,0,0,256,144,1,0,0,320,90,25600,16,39,1,0,172,4,6,0
15,EMP-Rv3,.rdata,0x112000,59962,25,32768,19,0,0,128,2147483700,2147483669,2147483658,23,0,0,128,2,0,0,128
16,Gakk MG6,.rdata,0x196880,39798,4112,0,132,155,16,16,17,269523858,4294967295,170,155,16,16,34,5,147,25
17,Hallem TAR7 Tactical Assault Rifle,.rdata,0x16c780,100,0,0,1,1,1,1,16843009,16843009,257,0,0,0,0,0,0,0,0
18,Protonix Barracuda,.rdata,0x145c80,0,0,256,126,4,0,0,480,120,25601,16,39,1,0,211,4,2,0
19,Chrono Enervon Pistol EP24,.rdata,0x19cb20,63846,4112,0,114,249,16,16,16,269547899,21,135,249,16,16,34,5,147,25
